article,noun
das,Jahr
das,Mal
das,Beispiel
die,Zeit
die,Frau
der,Mensch
das,Deutsch
das,Kind
der,Tag
der,Mann
das,Land
die,Frage
das,Haus
der,Fall
die,Leute
die,Arbeit
das,Prozent
die,Hand
die,Stadt
der,Herr
der/das,Teil
das,Problem
die,Welt
das,Recht
das,Ende
die,Million
die,Schule
die,Woche
der,Vater
die,Seite
das,Leben
die,Mutter
der,Grund
das,Auge
das,Wort
das,Geld
die,Art
der,Bereich
der,Weg
die,Stunde
der,Name
die,Geschichte
die,Gesellschaft
der,Kopf
das,Paar
die,Möglichkeit
das,Unternehmen
das,Bild
das,Buch
das,Wasser
die,Stelle
die,Form
die,Entwicklung
der,Monat
die,Familie
der,Morgen
der,Abend
die,Aufgabe
die,Universität
der,Sinn
der,Staat
das,Ziel
der,Freund
das,Thema
die,Person
der,Euro
die,Nacht
das,Ding
der,Raum
der,Blick
der,Platz
die,Zahl
das,System
die,Uhr
die,Eltern
die,Straße
die,Minute
die,Gruppe
der,Wert
das,Gesicht
die,Sprache
der,Anfang
der,Ort
der,Moment
die,Folge
das,Interesse
die,Milliarde
die,Rolle
die,Tür
der,Schüler
die,Bedeutung
der,Text
das,Ergebnis
der,Krieg
die,Weise
die,Regierung
das,Stück
die,Wohnung
das,Gespräch
der,Meter
der,Punkt
die,Situation
der,Lehrer
der,Preis
die,Abbildung
der,Begriff
die,Funktion
der,Boden
das,Jahrhundert
der,Sohn
das,Werk
die,Stimme
der,Rahmen
die,Richtung
das,Programm
die,Angst
die,Information
die,Kunst
die,Musik
die,Politik
der,Beruf
die,Regel
der,Schritt
der,Absatz
der,Gott
das,Auto
die,Beziehung
die,Erfahrung
der,Tisch
die,Zukunft
das,Spiel
das,Gefühl
das,Licht
der,Präsident
der,Markt
die,Bank
die,Partei
die,Tochter
das,Verhältnis
die,Kirche
der,Film
der,Gedanke
der,Doktor
das,Mädchen
die,Entscheidung
der,Prozess
der,Betrieb
der,Zusammenhang
das,Gesetz
der,Arm
die,Firma
die,Kraft
der,Student
das,Zuhause
die,Chance
die,Zeitung
der,Erfolg
die,Grenze
der,Satz
das,Angebot
das,Internet
die,Kultur
die,Lage
die,Leistung
das,Mitglied
das,Projekt
das,Zimmer
der,Chef
der,Zug
der,Arzt
das,Auftreten
der,Fuß
der,Körper
die,Klasse
die,Lösung
das,Verhalten
die,Höhe
der,Junge
das,Fenster
die,Luft
die,Meinung
die,Idee
das,Produkt
das,Studium
der,Vergleich
das,Mittel
das,Modell
die,Natur
das,Bett
der,Kunde
der,Mitarbeiter
der,Tod
das,Geschäft
der,Spaß
die,Wirtschaft
das,Tier
die,Bewegung
der,Gast
die,Sicherheit
der,Einsatz
das,Gebiet
der,Dank
das,Dorf
der,Kollege
die,Angabe
der,Bruder
die,Verfügung
das,Fach
das,Herz
der,Kontakt
die,Menge
der,Sommer
der,Unterschied
der,Anspruch
die,Antwort
die,Verbindung
die,Vorstellung
die,Anwendung
das,Alter
die,Kosten
der,Patient
die,Polizei
das,Theater
die,Ausbildung
die,Gefahr
das,Gerät
der,Kilometer
die,Hilfe
der,Computer
der,Dollar
das,Verfahren
der,Vertrag
die,Maßnahme
die,Mitte
die,Ordnung
der,Stoff
der,Beginn
das,Glück
das,Wochenende
der,Professor
die,Reihe
der,Westen/West
die,Bevölkerung
das,Institut
der,Osten/Ost
die,Schwester
die,Erde
die,Ebene
die,Reise
die,Einheit
das,Haar
das,Lächeln
die,Nähe
das,Prinzip
der,Vorteil
die,Struktur
der,Autor
die,Bedingung
das,Risiko
die,Wahl
die,Wirkung
der,Brief
die,Größe
die,Medien
die,Macht
die,Untersuchung
die,Veränderung
die,Daten
der,Einfluss
die,Methode
die,Organisation
die,Liebe
die,Rede
der,Sport
der,Augenblick
die,Diskussion
die,Forderung
der,Kreis
die,Technik
der,Versuch
das,Schweigen
die,Krankheit
die,Schwierigkeit
die,Tätigkeit
die,Voraussetzung
der,Kampf
der,Künstler
die,Region
der,Eindruck
die,Reaktion
der,Beitrag
das,Konzept
die,Linie
der,Mund
der,Wunsch
der,Artikel
der,Gegensatz
das,Kapitel
die,Literatur
der,Rücken
die,Zelle
die,Aussage
der,Bürger
der,Himmel
der,Inhalt
die,Wand
die,Bibliothek
die,Farbe
der/die,Jugendliche
das,Maß
der,Ansatz
der,Aspekt
das,Bein
die,Erinnerung
die,Kenntnis
der,Kurs
das,Papier
die,Sekunde
die,Sonne
der,Umstand
die,Wissenschaft
der,Garten
die,Küche
die,Wirklichkeit
der,Druck
das,Essen
die,Grundlage
der,Zustand
die,Hälfte
das,Meer
der,Dienst
der,Gegenstand
der,Plan
der,Zeitpunkt
der,Auftrag
der,Baum
die,Freude
die,Gemeinde
der,Hinweis
das,Netz
die,Position
der,Schluss
die,Bundesrepublik
die,Forschung
das,Glas
die,Haut
die,Praxis
der,Wald
der,Ausdruck
der,Finger
die,Freundin
der,Roman
die,Sicht
die,Theorie
die,Umwelt
der,Haushalt
der,Hund
die,Maschine
die,Nummer
der,Politiker
das,Team
der,Titel
der,Verein
das,Fernsehen
die,Schulter
die,Unterstützung
das,Zeichen
das,Material
die,Produktion
der,Rest
die,Ruhe
der,Schaden
der,Soldat
die,Sorge
die,Tatsache
die,Umgebung
das,Volk
der,Wagen
der,Wind
der,Zweck
der,Angriff
der,Antrag
der/das,Grad
der,Job
die,Öffentlichkeit
der,Schutz
der,Anteil
der/die,Beschäftigte
der,Besuch
die,Energie
die,Erklärung
der,Gang
der,Lauf
der,Unterricht
das,Zentrum
das,Amt
der,Anschlag
das,Ausland
die,Behandlung
die,Einrichtung
das,Feld
die,Hochschule
das,Hotel
das,Publikum
die,Studie
der/die,Vorsitzende
die,Analyse
die,Spur
der,Berg
die,Erkenntnis
der,Faktor
der,Fehler
die,Freiheit
die,Freizeit
die,Gegend
die,Kritik
der,Partner
der,See
die,See
der,Typ
das,Ereignis
die,Kontrolle
das,Objekt
das,Opfer
der,Sprecher
der,Arbeitsplatz
die,Aufnahme
die,Fähigkeit
